sepal_length,sepal_width,petal_length,petal_width,totals,mean,species
5.10,3.50,1.40,0.20,10.20,2.55,setosa
4.90,3.00,1.40,0.20,9.50,2.38,setosa
4.70,3.20,1.30,0.20,9.40,2.35,setosa
4.60,3.10,1.50,0.20,9.40,2.35,setosa
5.00,3.60,1.40,0.20,10.20,2.55,setosa
5.40,3.90,1.70,0.40,11.40,2.85,setosa
4.60,3.40,1.40,0.30,9.70,2.43,setosa
5.00,3.40,1.50,0.20,10.10,2.52,setosa
4.40,2.90,1.40,0.20,8.90,2.23,setosa
4.90,3.10,1.50,0.10,9.60,2.40,setosa
5.40,3.70,1.50,0.20,10.80,2.70,setosa
4.80,3.40,1.60,0.20,10.00,2.50,setosa
4.80,3.00,1.40,0.10,9.30,2.32,setosa
4.30,3.00,1.10,0.10,8.50,2.12,setosa
5.80,4.00,1.20,0.20,11.20,2.80,setosa
5.70,4.40,1.50,0.40,12.00,3.00,setosa
5.40,3.90,1.30,0.40,11.00,2.75,setosa
5.10,3.50,1.40,0.30,10.30,2.58,setosa
5.70,3.80,1.70,0.30,11.50,2.88,setosa
5.10,3.80,1.50,0.30,10.70,2.67,setosa
5.40,3.40,1.70,0.20,10.70,2.67,setosa
5.10,3.70,1.50,0.40,10.70,2.68,setosa
4.60,3.60,1.00,0.20,9.40,2.35,setosa
5.10,3.30,1.70,0.50,10.60,2.65,setosa
4.80,3.40,1.90,0.20,10.30,2.57,setosa
5.00,3.00,1.60,0.20,9.80,2.45,setosa
5.00,3.40,1.60,0.40,10.40,2.60,setosa
5.20,3.50,1.50,0.20,10.40,2.60,setosa
5.20,3.40,1.40,0.20,10.20,2.55,setosa
4.70,3.20,1.60,0.20,9.70,2.42,setosa
4.80,3.10,1.60,0.20,9.70,2.42,setosa
5.40,3.40,1.50,0.40,10.70,2.68,setosa
5.20,4.10,1.50,0.10,10.90,2.73,setosa
5.50,4.20,1.40,0.20,11.30,2.82,setosa
4.90,3.10,1.50,0.10,9.60,2.40,setosa
5.00,3.20,1.20,0.20,9.60,2.40,setosa
5.50,3.50,1.30,0.20,10.50,2.62,setosa
4.90,3.10,1.50,0.10,9.60,2.40,setosa
4.40,3.00,1.30,0.20,8.90,2.23,setosa
5.10,3.40,1.50,0.20,10.20,2.55,setosa
5.00,3.50,1.30,0.30,10.10,2.53,setosa
4.50,2.30,1.30,0.30,8.40,2.10,setosa
4.40,3.20,1.30,0.20,9.10,2.27,setosa
5.00,3.50,1.60,0.60,10.70,2.67,setosa
5.10,3.80,1.90,0.40,11.20,2.80,setosa
4.80,3.00,1.40,0.30,9.50,2.38,setosa
5.10,3.80,1.60,0.20,10.70,2.67,setosa
4.60,3.20,1.40,0.20,9.40,2.35,setosa
5.30,3.70,1.50,0.20,10.70,2.67,setosa
5.00,3.30,1.40,0.20,9.90,2.48,setosa
7.00,3.20,4.70,1.40,16.30,4.07,versicolor
6.40,3.20,4.50,1.50,15.60,3.90,versicolor
6.90,3.10,4.90,1.50,16.40,4.10,versicolor
5.50,2.30,4.00,1.30,13.10,3.28,versicolor
6.50,2.80,4.60,1.50,15.40,3.85,versicolor
5.70,2.80,4.50,1.30,14.30,3.58,versicolor
6.30,3.30,4.70,1.60,15.90,3.98,versicolor
4.90,2.40,3.30,1.00,11.60,2.90,versicolor
6.60,2.90,4.60,1.30,15.40,3.85,versicolor
5.20,2.70,3.90,1.40,13.20,3.30,versicolor
5.00,2.00,3.50,1.00,11.50,2.88,versicolor
5.90,3.00,4.20,1.50,14.60,3.65,versicolor
6.00,2.20,4.00,1.00,13.20,3.30,versicolor
6.10,2.90,4.70,1.40,15.10,3.77,versicolor
5.60,2.90,3.60,1.30,13.40,3.35,versicolor
6.70,3.10,4.40,1.40,15.60,3.90,versicolor
5.60,3.00,4.50,1.50,14.60,3.65,versicolor
5.80,2.70,4.10,1.00,13.60,3.40,versicolor
6.20,2.20,4.50,1.50,14.40,3.60,versicolor
5.60,2.50,3.90,1.10,13.10,3.27,versicolor
5.90,3.20,4.80,1.80,15.70,3.93,versicolor
6.10,2.80,4.00,1.30,14.20,3.55,versicolor
6.30,2.50,4.90,1.50,15.20,3.80,versicolor
6.10,2.80,4.70,1.20,14.80,3.70,versicolor
6.40,2.90,4.30,1.30,14.90,3.73,versicolor
6.60,3.00,4.40,1.40,15.40,3.85,versicolor
6.80,2.80,4.80,1.40,15.80,3.95,versicolor
6.70,3.00,5.00,1.70,16.40,4.10,versicolor
6.00,2.90,4.50,1.50,14.90,3.73,versicolor
5.70,2.60,3.50,1.00,12.80,3.20,versicolor
5.50,2.40,3.80,1.10,12.80,3.20,versicolor
5.50,2.40,3.70,1.00,12.60,3.15,versicolor
5.80,2.70,3.90,1.20,13.60,3.40,versicolor
6.00,2.70,5.10,1.60,15.40,3.85,versicolor
5.40,3.00,4.50,1.50,14.40,3.60,versicolor
6.00,3.40,4.50,1.60,15.50,3.88,versicolor
6.70,3.10,4.70,1.50,16.00,4.00,versicolor
6.30,2.30,4.40,1.30,14.30,3.58,versicolor
5.60,3.00,4.10,1.30,14.00,3.50,versicolor
5.50,2.50,4.00,1.30,13.30,3.33,versicolor
5.50,2.60,4.40,1.20,13.70,3.42,versicolor
6.10,3.00,4.60,1.40,15.10,3.77,versicolor
5.80,2.60,4.00,1.20,13.60,3.40,versicolor
5.00,2.30,3.30,1.00,11.60,2.90,versicolor
5.60,2.70,4.20,1.30,13.80,3.45,versicolor
5.70,3.00,4.20,1.20,14.10,3.52,versicolor
5.70,2.90,4.20,1.30,14.10,3.53,versicolor
6.20,2.90,4.30,1.30,14.70,3.67,versicolor
5.10,2.50,3.00,1.10,11.70,2.92,versicolor
5.70,2.80,4.10,1.30,13.90,3.48,versicolor
6.30,3.30,6.00,2.50,18.10,4.53,virginica
5.80,2.70,5.10,1.90,15.50,3.88,virginica
7.10,3.00,5.90,2.10,18.10,4.53,virginica
6.30,2.90,5.60,1.80,16.60,4.15,virginica
6.50,3.00,5.80,2.20,17.50,4.38,virginica
7.60,3.00,6.60,2.10,19.30,4.83,virginica
4.90,2.50,4.50,1.70,13.60,3.40,virginica
7.30,2.90,6.30,1.80,18.30,4.58,virginica
6.70,2.50,5.80,1.80,16.80,4.20,virginica
7.20,3.60,6.10,2.50,19.40,4.85,virginica
6.50,3.20,5.10,2.00,16.80,4.20,virginica
6.40,2.70,5.30,1.90,16.30,4.08,virginica
6.80,3.00,5.50,2.10,17.40,4.35,virginica
5.70,2.50,5.00,2.00,15.20,3.80,virginica
5.80,2.80,5.10,2.40,16.10,4.02,virginica
6.40,3.20,5.30,2.30,17.20,4.30,virginica
6.50,3.00,5.50,1.80,16.80,4.20,virginica
7.70,3.80,6.70,2.20,20.40,5.10,virginica
7.70,2.60,6.90,2.30,19.50,4.88,virginica
6.00,2.20,5.00,1.50,14.70,3.67,virginica
6.90,3.20,5.70,2.30,18.10,4.53,virginica
5.60,2.80,4.90,2.00,15.30,3.82,virginica
7.70,2.80,6.70,2.00,19.20,4.80,virginica
6.30,2.70,4.90,1.80,15.70,3.93,virginica
6.70,3.30,5.70,2.10,17.80,4.45,virginica
7.20,3.20,6.00,1.80,18.20,4.55,virginica
6.20,2.80,4.80,1.80,15.60,3.90,virginica
6.10,3.00,4.90,1.80,15.80,3.95,virginica
6.40,2.80,5.60,2.10,16.90,4.22,virginica
7.20,3.00,5.80,1.60,17.60,4.40,virginica
7.40,2.80,6.10,1.90,18.20,4.55,virginica
7.90,3.80,6.40,2.00,20.10,5.03,virginica
6.40,2.80,5.60,2.20,17.00,4.25,virginica
6.30,2.80,5.10,1.50,15.70,3.92,virginica
6.10,2.60,5.60,1.40,15.70,3.92,virginica
7.70,3.00,6.10,2.30,19.10,4.77,virginica
6.30,3.40,5.60,2.40,17.70,4.42,virginica
6.40,3.10,5.50,1.80,16.80,4.20,virginica
6.00,3.00,4.80,1.80,15.60,3.90,virginica
6.90,3.10,5.40,2.10,17.50,4.38,virginica
6.70,3.10,5.60,2.40,17.80,4.45,virginica
6.90,3.10,5.10,2.30,17.40,4.35,virginica
5.80,2.70,5.10,1.90,15.50,3.88,virginica
6.80,3.20,5.90,2.30,18.20,4.55,virginica
6.70,3.30,5.70,2.50,18.20,4.55,virginica
6.70,3.00,5.20,2.30,17.20,4.30,virginica
6.30,2.50,5.00,1.90,15.70,3.93,virginica
6.50,3.00,5.20,2.00,16.70,4.17,virginica
6.20,3.40,5.40,2.30,17.30,4.33,virginica
5.90,3.00,5.10,1.80,15.80,3.95,virginica
